date, pm25, pm10, no2
2020/10/1, 32, 15, 7
2020/10/2, 76, 61, 6
2020/10/3, 72, 58, 2
2020/10/4, 62, 33, 2
2020/10/5, 24, 11, 9
2020/10/6, 26, 24, 14
2020/10/7, 17, 12, 11
2020/10/8, 14, 9, 11
2020/10/9, 10, 11, 14
2020/10/10, 14, 7, 10
2020/10/11, 11, 8, 12
2020/10/12, 9, 10, 11
2020/10/13, 11, 10, 9
2020/10/14, 8, 10, 11
2020/10/15, 15, 10, 17
2020/10/16, 13, 7, 9
2020/10/17, 9, 5, 7
2020/10/18, 9, 10, 11
2020/10/19, 12, 18, 19
2020/10/20, 16, 277, 13
2020/10/21, 267, 798, 12
2020/10/22, 769, , 
2024/12/1, , 11, 5
2024/12/2, , 14, 11
2024/12/3, , 8, 23
2024/12/4, , 16, 21
2024/12/5, , 13, 12
2024/12/6, , 14, 10
2024/12/7, , 13, 
2024/11/1, , 11, 6
2024/11/2, , 11, 4
2024/11/3, , 10, 13
2024/11/4, , 25, 7
2024/11/5, , 19, 7
2024/11/6, , 21, 12
2024/11/7, , 35, 11
2024/11/8, , 24, 9
2024/11/9, , 23, 8
2024/11/10, , 8, 11
2024/11/11, , 19, 12
2024/11/12, , 35, 8
2024/11/13, , 20, 11
2024/11/14, , 33, 9
2024/11/15, , 33, 3
2024/11/16, , 15, 4
2024/11/17, , 17, 11
2024/11/18, , 35, 18
2024/11/19, , 50, 5
2024/11/20, , 11, 4
2024/11/21, , 5, 9
2024/11/22, , 10, 9
2024/11/23, , 10, 9
2024/11/24, , 16, 4
2024/11/25, , 17, 6
2024/11/26, , 20, 10
2024/11/27, , 12, 9
2024/11/28, , 18, 9
2024/11/29, , 24, 3
2024/11/30, , 13, 3
2024/10/1, , 15, 9
2024/10/2, , 11, 11
2024/10/3, , 14, 14
2024/10/4, , 14, 4
2024/10/5, , 6, 5
2024/10/6, , 8, 15
2024/10/7, , 16, 11
2024/10/8, , 15, 8
2024/10/9, , 6, 10
2024/10/10, , 7, 8
2024/10/11, , 7, 8
2024/10/12, , 11, 8
2024/10/13, , 9, 13
2024/10/14, , 18, 12
2024/10/15, , 15, 10
2024/10/16, , 12, 10
2024/10/17, , 16, 9
2024/10/18, , 20, 10
2024/10/19, , 18, 9
2024/10/20, , 22, 4
2024/10/21, , 17, 5
2024/10/22, , 16, 7
2024/10/23, , 17, 8
2024/10/24, , 15, 7
2024/10/25, , 13, 7
2024/10/26, , 15, 2
2024/10/27, , 2, 9
2024/10/28, , 17, 9
2024/10/29, , 15, 8
2024/10/30, , 16, 8
2024/10/31, , 15, 5
2024/7/4, , 12, 3
2024/7/5, , 10, 4
2024/7/6, , 10, 2
2024/7/7, , 9, 5
2024/7/8, , 11, 6
2024/7/9, , 11, 4
2024/7/10, , 15, 11
2024/7/11, , 15, 8
2024/7/12, , 11, 3
2024/7/13, , 8, 3
2024/7/14, , 6, 7
2024/7/15, , 11, 7
2024/7/16, , 13, 5
2024/7/17, , 10, 3
2024/7/18, , 7, 6
2024/7/19, , 9, 5
2024/7/20, , 8, 3
2024/7/21, , 9, 5
2024/7/22, , 13, 8
2024/7/23, , 12, 8
2024/7/24, , 13, 7
2024/7/25, , 11, 6
2024/7/26, , 10, 5
2024/7/27, , 9, 5
2024/7/28, , 8, 5
2024/7/29, , 12, 9
2024/7/30, , 13, 8
2024/7/31, , 16, 7
2024/8/1, , 11, 10
2024/8/2, , 14, 7
2024/8/3, , 10, 5
2024/8/4, , 9, 10
2024/8/5, , 15, 8
2024/8/6, , 16, 7
2024/8/7, , 15, 7
2024/8/8, , 14, 5
2024/8/9, , 12, 2
2024/8/10, , 8, 3
2024/8/11, , 8, 6
2024/8/12, , 12, 8
2024/8/13, , 15, 7
2024/8/14, , 16, 10
2024/8/15, , 23, 5
2024/8/16, , 11, 4
2024/8/17, , 8, 6
2024/8/18, , 13, 8
2024/8/19, , 15, 9
2024/8/20, , 23, 10
2024/8/21, , 21, 6
2024/8/22, , 12, 6
2024/8/23, , 15, 4
2024/8/24, , 11, 4
2024/8/25, , 14, 4
2024/8/26, , 19, 6
2024/8/27, , 19, 6
2024/8/28, , 22, 10
2024/8/29, , 32, 9
2024/8/30, , 24, 7
2024/8/31, , 13, 8
2024/9/1, , 10, 8
2024/9/2, , 9, 9
2024/9/3, , 18, 10
2024/9/4, , 20, 9
2024/9/5, , 27, 8
2024/9/6, , 24, 7
2024/9/7, , 22, 8
2024/9/8, , 33, 10
2024/9/9, , 41, 6
2024/9/10, , 12, 8
2024/9/11, , 11, 8
2024/9/12, , 11, 14
2024/9/13, , 20, 7
2024/9/14, , 9, 7
2024/9/15, , 8, 15
2024/9/16, , 19, 14
2024/9/17, , 18, 13
2024/9/18, , 21, 11
2024/9/19, , 17, 9
2024/9/20, , 13, 6
2024/9/21, , 9, 7
2024/9/22, , 8, 10
2024/9/23, , 18, 11
2024/9/24, , 25, 5
2024/9/25, , 14, 6
2024/9/26, , 11, 10
2024/9/27, , 5, 8
2024/9/28, , 6, 7
2024/9/29, , 6, 11
2024/9/30, , 15, 13
2024/4/1, , 34, 5
2024/4/2, , 17, 4
2024/4/3, , 17, 7
2024/4/4, , 19, 9
2024/4/5, , 5, 6
2024/4/6, , 10, 5
2024/4/7, , 20, 7
2024/4/8, , 48, 15
2024/4/9, , 50, 6
2024/4/10, , 44, 5
2024/4/11, , 19, 8
2024/4/12, , 34, 4
2024/4/13, , 13, 4
2024/4/14, , 7, 10
2024/4/15, , 21, 9
2024/4/16, , 20, 7
2024/4/17, , 27, 7
2024/4/18, , 23, 10
2024/4/19, , 29, 8
2024/4/20, , 19, 5
2024/4/21, , 17, 5
2024/4/22, , 27, 9
2024/4/23, , 35, 13
2024/4/24, , 44, 11
2024/4/25, , 10, 14
2024/4/26, , 7, 10
2024/4/27, , 12, 8
2024/4/28, , 20, 12
2024/4/29, , 37, 15
2024/4/30, , 40, 6
2024/5/1, , 27, 3
2024/5/2, , 19, 7
2024/5/3, , 26, 9
2024/5/4, , 23, 5
2024/5/5, , 11, 4
2024/5/6, , 16, 9
2024/5/7, , 25, 8
2024/5/8, , 12, 7
2024/5/9, , 14, 7
2024/5/10, , 16, 7
2024/5/11, , 17, 8
2024/5/12, , 19, 11
2024/5/13, , 39, 7
2024/5/14, , 33, 5
2024/5/15, , 30, 11
2024/5/16, , 44, 12
2024/5/17, , 48, 11
2024/5/18, , 38, 5
2024/5/19, , 26, 4
2024/5/20, , 26, 7
2024/5/21, , 27, 6
2024/5/22, , 35, 5
2024/5/23, , 53, 8
2024/5/24, , 21, 6
2024/5/25, , 21, 5
2024/5/26, , 19, 10
2024/5/27, , 32, 12
2024/5/28, , 35, 11
2024/5/29, , 31, 7
2024/5/30, , 23, 8
2024/5/31, , 35, 7
2024/6/1, , 28, 7
2024/6/2, , 18, 11
2024/6/3, , 31, 9
2024/6/4, , 25, 10
2024/6/5, , 34, 4
2024/6/6, , 16, 6
2024/6/7, , 17, 5
2024/6/8, , 14, 3
2024/6/9, , 10, 5
2024/6/10, , 13, 8
2024/6/11, , 14, 11
2024/6/12, , 19, 8
2024/6/13, , 16, 8
2024/6/14, , 16, 6
2024/6/15, , 14, 6
2024/6/16, , 13, 9
2024/6/17, , 16, 6
2024/6/18, , 14, 9
2024/6/19, , 15, 6
2024/6/20, , 18, 4
2024/6/21, , 11, 4
2024/6/22, , 8, 5
2024/6/23, , 13, 11
2024/6/24, , 23, 7
2024/6/25, , 20, 7
2024/6/26, , 23, 8
2024/6/27, , 27, 
2024/1/1, , 5, 2
2024/1/2, , 4, 
2024/1/3, , 3, 8
2024/1/4, , 4, 13
2024/1/5, , 5, 15
2024/1/6, , 6, 20
2024/1/7, , 7, 14
2024/1/8, , 4, 13
2024/1/9, , 6, 14
2024/1/10, , 10, 13
2024/1/11, , 9, 7
2024/1/12, , 6, 4
2024/1/13, , 2, 11
2024/1/14, , 4, 8
2024/1/15, , 4, 17
2024/1/16, , 6, 11
2024/1/17, , 6, 8
2024/1/18, , 4, 24
2024/1/19, , 12, 20
2024/1/20, , 10, 5
2024/1/21, , 10, 5
2024/1/22, , 8, 7
2024/1/23, , 9, 14
2024/1/24, , 8, 8
2024/1/25, , 6, 12
2024/1/26, , 9, 11
2024/1/27, , 9, 4
2024/1/28, , 7, 9
2024/1/29, , 16, 12
2024/1/30, , 11, 7
2024/1/31, , 6, 6
2024/2/1, , 22, 8
2024/2/2, , 20, 4
2024/2/3, , 12, 7
2024/2/4, , 18, 13
2024/2/5, , 22, 13
2024/2/6, , 29, 12
2024/2/7, , 45, 13
2024/2/8, , 46, 5
2024/2/9, , 6, 6
2024/2/10, , 6, 4
2024/2/11, , 7, 5
2024/2/12, , 8, 10
2024/2/13, , 8, 14
2024/2/14, , 15, 13
2024/2/15, , 9, 9
2024/2/16, , 7, 6
2024/2/17, , 11, 12
2024/2/18, , 24, 13
2024/2/19, , 11, 11
2024/2/20, , 6, 13
2024/2/21, , 7, 11
2024/2/22, , 9, 7
2024/2/23, , 15, 10
2024/2/24, , 23, 8
2024/2/25, , 12, 13
2024/2/26, , 16, 12
2024/2/27, , 10, 6
2024/2/28, , 22, 6
2024/2/29, , 24, 10
2024/3/1, , 11, 8
2024/3/2, , 19, 3
2024/3/3, , 18, 9
2024/3/4, , 19, 4
2024/3/5, , 16, 14
2024/3/6, , 31, 21
2024/3/7, , 49, 15
2024/3/8, , 35, 5
2024/3/9, , 13, 3
2024/3/10, , 22, 7
2024/3/11, , 17, 11
2024/3/12, , 23, 8
2024/3/13, , 23, 4
2024/3/14, , 11, 6
2024/3/15, , 13, 6
2024/3/16, , 9, 3
2024/3/17, , 18, 9
2024/3/18, , 38, 12
2024/3/19, , 33, 12
2024/3/20, , 9, 15
2024/3/21, , 21, 6
2024/3/22, , 7, 7
2024/3/23, , 20, 7
2024/3/24, , 13, 8
2024/3/25, , 39, 8
2024/3/26, , 19, 8
2024/3/27, , 32, 7
2024/3/28, , 27, 8
2024/3/29, , 31, 8
2024/3/30, , 38, 5
2024/3/31, , 17, 6
2023/10/1, , 8, 6
2023/10/2, , 10, 8
2023/10/3, , 11, 7
2023/10/4, , 9, 8
2023/10/5, , 13, 18
2023/10/6, , 9, 12
2023/10/7, , 6, 11
2023/10/8, , 6, 14
2023/10/9, , 9, 
2023/10/11, , 12, 5
2023/10/12, , 12, 8
2023/10/13, , 12, 3
2023/10/14, , 8, 5
2023/10/15, , 7, 8
2023/10/16, , 11, 10
2023/10/17, , 13, 8
2023/10/18, , 10, 10
2023/10/19, , 11, 3
2023/10/20, , 7, 1
2023/10/21, , 5, 4
2023/10/22, , 5, 10
2023/10/23, , 14, 8
2023/10/24, , 14, 4
2023/10/25, , 9, 6
2023/10/26, , 7, 10
2023/10/27, , 13, 8
2023/10/28, , 15, 7
2023/10/29, , 12, 7
2023/10/30, , 11, 9
2023/10/31, , 9, 8
2023/11/1, , 8, 4
2023/11/2, , 4, 7
2023/11/3, , 10, 6
2023/11/4, , 7, 7
2023/11/5, , 12, 11
2023/11/6, , 27, 11
2023/11/7, , 15, 11
2023/11/8, , 13, 11
2023/11/9, , 14, 10
2023/11/10, , 11, 11
2023/11/11, , 18, 5
2023/11/12, , 13, 9
2023/11/13, , 23, 11
2023/11/14, , 16, 13
2023/11/15, , 11, 10
2023/11/16, , 11, 15
2023/11/17, , 23, 12
